studyYear	programDbId	programName	programDescription	studyDbId	studyName	studyDescription	studyDesign	plotWidth	plotLength	fieldSize	fieldTrialIsPlannedToBeGenotyped	fieldTrialIsPlannedToCross	plantingDate	harvestDate	locationDbId	locationName	germplasmDbId	germplasmName	germplasmSynonyms	observationLevel	observationUnitDbId	observationUnitName	replicate	blockNumber	plotNumber	rowNumber	colNumber	entryType	plantNumber	plantedSeedlotStockDbId	plantedSeedlotStockUniquename	plantedSeedlotCurrentCount	plantedSeedlotCurrentWeightGram	plantedSeedlotBoxName	plantedSeedlotTransactionCount	plantedSeedlotTransactionWeight	plantedSeedlotTransactionDescription	availableGermplasmSeedlotUniquenames	DMCP	FRW	FSWMIK	HIV	notes
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38906	UG120029		plot	40026	UG120029_block:2_plot:TP29_2012_NaCRRI	1	2	29			test											40	9.8	7	0.58	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38907	UG120030		plot	40027	UG120030_block:2_plot:TP30_2012_NaCRRI	1	2	30			test											41.4	6.8	5	0.58	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38908	UG120031		plot	40028	UG120031_block:2_plot:TP31_2012_NaCRRI	1	2	31			test											37.1	1	8	0.11	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38909	UG120032		plot	40029	UG120032_block:2_plot:TP32_2012_NaCRRI	1	2	32			test											41.6	0.8	3.2	0.2	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38910	UG120033		plot	40030	UG120033_block:2_plot:TP33_2012_NaCRRI	1	2	33			test											32.8	11	19	0.37	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38911	UG120034		plot	40031	UG120034_block:2_plot:TP34_2012_NaCRRI	1	2	34			test											38.3	14	20.2	0.41	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38912	UG120035		plot	40032	UG120035_block:2_plot:TP35_2012_NaCRRI	1	2	35			test											40.9	5.4	10	0.35	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38913	UG120036		plot	40033	UG120036_block:2_plot:TP36_2012_NaCRRI	1	2	36			test											38.5	5.2	8.2	0.39	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38914	UG120037		plot	40034	UG120037_block:2_plot:TP37_2012_NaCRRI	1	2	37			test											42.8	4.6	9.8	0.32	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38915	UG120038		plot	40035	UG120038_block:2_plot:TP38_2012_NaCRRI	1	2	38			test											24.2	0.9	2.2	0.29	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38916	UG120039		plot	40036	UG120039_block:2_plot:TP39_2012_NaCRRI	1	2	39			test											28	3.7	10.3	0.26	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38917	UG120040		plot	40037	UG120040_block:2_plot:TP40_2012_NaCRRI	1	2	40			test											38.5	5.5	8.8	0.38	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39945	UG120041		plot	40038	UG120041_block:2_plot:TP41_2012_NaCRRI	1	2	41			test											25.8	1.9	1.3	0.59	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38918	UG120042		plot	40039	UG120042_block:2_plot:TP42_2012_NaCRRI	1	2	42			test											26.7	5.4	4.4	0.55	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38919	UG120043		plot	40040	UG120043_block:2_plot:TP43_2012_NaCRRI	1	2	43			test											29.2	5.8	3.3	0.64	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38920	UG120044		plot	40041	UG120044_block:2_plot:TP44_2012_NaCRRI	1	2	44			test											38.8	2.5	3.2	0.44	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39946	UG120045		plot	40042	UG120045_block:3_plot:TP45_2012_NaCRRI	1	3	45			test											40.8	2.5	3	0.45	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38921	UG120046		plot	40043	UG120046_block:3_plot:TP46_2012_NaCRRI	1	3	46			test											33.1	1	2	0.33	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39947	UG120047		plot	40044	UG120047_block:3_plot:TP47_2012_NaCRRI	1	3	47			test											38.4	2	3	0.4	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38922	UG120048		plot	40045	UG120048_block:3_plot:TP48_2012_NaCRRI	1	3	48			test											36.2	3	4	0.43	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38923	UG120049		plot	40046	UG120049_block:3_plot:TP49_2012_NaCRRI	1	3	49			test												1	2	0.33	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39948	UG120050		plot	40047	UG120050_block:3_plot:TP50_2012_NaCRRI	1	3	50			test											33.1	2	3	0.4	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38924	UG120051		plot	40048	UG120051_block:3_plot:TP51_2012_NaCRRI	1	3	51			test											25.4	2	5	0.29	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39949	UG120052		plot	40049	UG120052_block:3_plot:TP52_2012_NaCRRI	1	3	52			test											39.3	0.2	1	0.17	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38925	UG120053		plot	40050	UG120053_block:3_plot:TP53_2012_NaCRRI	1	3	53			test												13	19	0.41	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38926	UG120054		plot	40051	UG120054_block:3_plot:TP54_2012_NaCRRI	1	3	54			test												5	8	0.38	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38927	UG120055		plot	40052	UG120055_block:3_plot:TP55_2012_NaCRRI	1	3	55			test													11		
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39950	UG120056		plot	40053	UG120056_block:3_plot:TP56_2012_NaCRRI	1	3	56			test											34.2	0.4	1.5	0.21	
